,bathrooms,bedrooms,latitude,longitude,price,num_photos,num_features,num_description_words,created_year,created_month,created_day,manager_id
10,1.5,3,40.7145,-73.9425,3000,5,0,95,2016,6,24,5ba989232d0489da1b5f2c45f6688adc
10000,1.0,2,40.7947,-73.9667,5465,11,5,9,2016,6,12,7533621a882f71e25173b27e3139d83d
100004,1.0,1,40.7388,-74.0018,2850,8,4,94,2016,4,17,d9039c43983f6e564b1482b273bd7b01
100007,1.0,1,40.7539,-73.9677,3275,3,2,80,2016,4,18,1067e078446a7897d2da493d2f741316
100013,1.0,4,40.8241,-73.9493,3350,3,1,68,2016,4,28,98e13ad4b495b9613cef886d79a6291f
100014,2.0,4,40.7429,-74.0028,7995,5,0,9,2016,4,19,b209e2c4384a64cc307c26759ee0c651
100016,1.0,2,40.8012,-73.966,3600,10,8,87,2016,4,27,01287194f20de51872e81f660def4784
100020,2.0,1,40.7427,-73.9957,5645,5,8,134,2016,4,13,e6472c7237327dd3903b3d6f6a94515a
100026,1.0,1,40.8234,-73.9457,1725,5,4,4,2016,4,20,c1a6598437b7db560cde66e5a297a53f
100027,2.0,4,40.7278,-73.9808,5800,9,2,166,2016,4,2,23a01ea7717b38875f5b070282d1b9d2
100030,1.0,0,40.7769,-73.9467,1950,1,0,28,2016,4,14,e32475a6134d6d18279946b7b20a0f12
10004,1.0,1,40.8448,-73.9396,1675,5,7,105,2016,6,3,2dee0868ac01057760055b856e66e942
100044,1.0,2,40.7488,-73.977,3000,4,4,108,2016,4,19,537e06890f6a86dbb70c187db5be4d55
100048,2.0,2,40.7707,-73.9817,6895,6,6,76,2016,4,9,3813434aabfbad659a45f86a740cd23f
10005,1.0,1,40.7584,-73.9648,3050,6,5,86,2016,6,1,75f38d077366d7964c2f3bb80c3e7b1d
100051,1.0,0,40.7439,-73.9743,2350,2,5,70,2016,4,18,dbbb6b990661b1e507a387f019bcb1a0
100052,1.0,2,40.7305,-73.983,3650,5,1,49,2016,4,22,0411b25b134141100d8214ed6ec02f56
100053,1.0,1,40.8643,-73.928,1695,8,5,172,2016,4,19,ab15d581a04ed87b6f25d5aff8ddde30
100055,1.0,4,40.7999,-73.9638,5000,0,3,9,2016,4,20,8f5a9c893f6d602f4953fcc0b8e6e9b4
100058,1.0,1,40.7328,-73.9799,3973,32,2,9,2016,4,9,8f5a9c893f6d602f4953fcc0b8e6e9b4
100062,1.0,3,40.745400000000004,-73.9845,4395,6,4,143,2016,4,12,3793e58c60343a3fd6846ca2d2ef3c7f
